PROJECT;SEQUENCE;STEP;PIN0;PIN1;PIN3;PIN4;PIN5;PIN6;PIN8;PIN10;PIN11;PIN16;PIN17;PIN18;PIN20;PIN21;PIN22;PIN24;PIN25;PIN26;T0;T1;T3;T4;T5;T6;T8;T10;T11;T16;T17;T18;T20;T21;T22;T24;T25;T26;TMAX;TTOTAL;INFO1
Robusta;25;2;-61,07;-24,09;-33,76;0,00;-81,75;-62,70;61,07;-24,09;-33,76;3,52;-8,47;24,75;0,00;-81,75;-62,70;-3,52;-8,47;24,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri34
Robusta;25;3;-17,5;-47,40;-36,75;0,00;-81,75;-62,70;17,50;-25,49;-22,30;-17,50;-25,49;-22,30;0,00;-81,75;-62,70;17,50;-47,40;-36,75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri34
Robusta;25;4;1,62;-13,07;15,08;0,00;-81,75;-62,70;-1,62;-13,07;15,08;-69,90;-24,27;-33,36;0,00;-81,75;-62,70;69,90;-24,27;-33,36;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;BelokKiri34
Robusta;26;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan1
Robusta;26;2;-18,5;-32,84;-27,60;0,00;-81,75;-62,70;18,50;-32,84;-27,60;-18,50;-32,84;-27,60;0,00;-81,75;-62,70;18,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan1
Robusta;26;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan1
Robusta;26;4;-16,5;-32,84;-27,60;0,00;-81,75;-62,70;16,50;-32,84;-27,60;-16,50;-32,84;-27,60;0,00;-81,75;-62,70;16,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan1
Robusta;27;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan3
Robusta;27;2;-20,5;-32,84;-27,60;0,00;-81,75;-62,70;20,50;-32,84;-27,60;-20,50;-32,84;-27,60;0,00;-81,75;-62,70;20,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan3
Robusta;27;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan3
